"filename", "language", "YAML", "Dart", "Markdown", "XML", "C++", "Swift", "JSON", "CSS", "JavaScript", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\ivanm\Desktop\Flutter\ducksaver\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ivanm\Desktop\Flutter\ducksaver\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 13, 72
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 35
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\ivanm\Desktop\Flutter\ducksaver\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\ivanm\Desktop\Flutter\ducksaver\flutter_native_splash.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 17, 138
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 122
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 45
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\ivanm\Desktop\Flutter\ducksaver\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\ducksprite.dart", "Dart", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 29, 196
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\main.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 30
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\malletsprite.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 80
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\my_game.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 111
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\overlays_end.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 80
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\overlays_menu.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 78
"c:\Users\ivanm\Desktop\Flutter\ducksaver\lib\text_boxes.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 76
"c:\Users\ivanm\Desktop\Flutter\ducksaver\pubspec.yaml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\ivanm\Desktop\Flutter\ducksaver\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 16, 7, 65
"c:\Users\ivanm\Desktop\Flutter\ducksaver\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ivanm\Desktop\Flutter\ducksaver\web\splash\splash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\ivanm\Desktop\Flutter\ducksaver\web\splash\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"Total", "-", 34, 513, 5, 144, 1, 12, 201, 49, 5, 8, 89, 42, 225, 168, 1496